,price,LotSize,Age,LandValue,LivingArea,Bedrooms,Fireplaces,Bathrooms,Rooms,Heating,Fuel,Sewer,Waterfront,NewConstruction
68,225000,0.5,12,15300,2428,4,1,2.5,11,hot air,gas,public/commercial,No,No
69,182000,1,16,26600,1310,3,1,2,7,electric,electric,septic,No,No
70,208767,0.5,0,32000,1662,3,0,2,7,hot air,gas,public/commercial,No,Yes
71,186000,0.55,0,4400,2000,4,0,2.5,7,hot air,gas,public/commercial,No,Yes
72,93000,0.1,14,2600,1480,3,1,1.5,6,hot air,gas,public/commercial,No,No
73,257386,0.5,0,32000,2969,4,1,4,10,hot air,gas,public/commercial,No,Yes
74,161000,0.31,10,10400,1542,3,0,2.5,5,hot air,gas,public/commercial,No,No
75,92000,0.28,18,6300,1527,4,0,2,7,hot air,oil,septic,No,No
76,211002,0.06,0,32000,2195,4,0,2.5,8,hot air,gas,public/commercial,No,Yes
77,115000,0.06,14,1600,1480,3,1,1.5,6,hot air,gas,public/commercial,No,No
78,113000,0.46,53,9200,1452,3,0,2,7,hot water/steam,oil,septic,No,No
79,216300,0.1,0,32000,2360,4,0,2.5,10,hot air,gas,public/commercial,No,Yes
80,145000,2.12,32,19000,1440,3,1,1,8,hot air,oil,septic,No,No
81,114000,0.06,14,1600,1480,2,1,2.5,5,hot air,electric,public/commercial,No,No
82,139050,0.21,125,7300,1879,3,0,2.5,6,hot air,gas,public/commercial,No,No
83,104000,0.06,14,1600,1480,3,0,1.5,6,hot air,gas,public/commercial,No,No
84,169900,0.26,11,8700,1792,3,0,2.5,8,hot air,gas,public/commercial,No,No
85,177900,0.29,2,25000,1386,3,0,2.5,5,hot air,gas,septic,No,No
86,133000,1.29,14,10300,1676,2,1,2,3,hot air,electric,septic,No,No
87,185000,1,0,4000,768,4,0,2,9,hot air,gas,septic,No,No
88,115000,0.88,16,10000,1560,3,1,1.5,8,electric,electric,septic,No,No
89,100000,0.52,91,5000,1000,3,0,1,6,hot air,oil,septic,No,No
90,117000,0.07,15,18900,1676,4,1,1.5,9,electric,electric,septic,No,No
91,150000,0.32,11,19400,1656,3,0,1.5,6,electric,electric,none,No,No
92,187500,0.92,11,20600,2300,3,1,1.5,7,electric,electric,septic,No,No
93,107000,0.46,25,18700,1712,3,1,1,6,hot air,gas,septic,No,No
94,126900,0.46,26,18700,1350,3,0,1.5,5,hot air,gas,septic,No,No
95,147000,0.11,15,18900,1676,3,1,2.5,6,hot air,gas,septic,No,No
96,62000,0.4,103,10500,1317,3,0,1.5,7,hot water/steam,gas,septic,No,No
97,101000,0.87,30,8700,1056,3,1,2,8,hot air,gas,septic,No,No
98,143500,0.59,13,19900,912,3,0,1,7,hot air,gas,septic,No,No
99,113400,0.93,18,4500,1232,2,0,2,3,electric,electric,septic,No,No
100,76320,0.15,68,2000,1380,3,1,1,5,hot air,gas,public/commercial,No,No
101,110000,0.59,10,3100,936,3,0,1,6,hot air,gas,septic,No,No
102,88000,0.33,49,3400,720,3,0,1,4,hot air,gas,septic,No,No
103,108000,0.32,30,6500,1628,2,1,1.5,4,hot water/steam,oil,septic,No,No
104,114900,0.46,41,5000,1144,3,0,1.5,6,hot air,gas,septic,No,No
105,146000,0.48,2,3000,1827,3,0,2.5,9,hot air,gas,septic,No,No
106,225000,2.37,8,3300,1784,3,1,2,6,hot water/steam,oil,septic,No,No
107,138000,0.83,16,3700,1851,3,1,2.5,8,hot air,gas,septic,No,No
108,218070,1,0,3500,2194,4,0,2.5,8,hot water/steam,gas,septic,No,Yes
109,25000,0.21,75,900,920,2,0,1,6,hot air,oil,septic,No,No
110,112000,0.27,36,3800,1280,3,0,1,5,hot water/steam,gas,public/commercial,No,No
111,112500,0.72,43,4600,1232,3,1,1,5,electric,electric,septic,No,No
112,97000,0.36,45,3600,1406,3,0,1.5,6,hot water/steam,gas,septic,No,No
113,121000,0.52,6,2500,1164,3,0,2,5,hot air,gas,septic,No,No
114,65720,0.19,123,2100,1198,3,0,1,5,hot water/steam,gas,public/commercial,No,No
115,225000,0.38,10,6600,2206,4,1,2.5,8,hot air,gas,septic,No,No
116,192000,0.82,0,5000,1880,3,1,2.5,9,hot air,gas,septic,No,Yes
117,158500,0.69,6,3400,1368,3,0,1.5,8,hot air,oil,septic,No,No
118,247000,0.51,16,6000,1901,3,1,2.5,5,hot air,gas,septic,No,No
119,193777,0.72,11,3200,1547,3,0,2,8,hot air,gas,septic,No,No
120,136500,0.62,12,5400,896,3,0,2,5,hot air,gas,septic,No,No
121,75000,1,45,8000,1008,3,0,1,7,hot air,gas,septic,No,No
122,45000,0.52,75,3900,912,2,0,1,4,hot air,gas,septic,No,No
123,243000,0.82,12,3700,2443,3,0,2.5,6,hot air,gas,septic,No,No
124,90000,0.29,83,3900,900,4,0,1,7,hot air,gas,public/commercial,No,No
125,158000,0.52,0,4400,2098,3,0,2,7,hot air,gas,septic,No,Yes
126,174000,0.64,9,3000,2115,4,1,2.5,7,hot water/steam,gas,septic,No,No
127,150000,0.52,12,4500,1344,2,1,2,7,hot air,gas,septic,No,No
128,159650,1,3,5200,1106,3,0,1,8,hot air,gas,septic,No,No
129,139062,0.69,33,6500,1440,3,2,2,6,hot water/steam,gas,septic,No,No
130,84950,0.13,0,15000,840,2,0,1,3,hot air,gas,public/commercial,No,Yes
131,102000,0.22,10,7300,1170,2,0,1,6,hot air,gas,public/commercial,No,No
132,175000,0.46,15,23400,1664,4,0,1,5,hot air,oil,septic,No,No
133,78500,1,153,27300,3024,4,0,1,12,hot air,oil,septic,No,No
134,232478,1,0,15900,2598,4,1,2.5,9,hot air,gas,none,No,No
135,93805,0.13,0,15000,840,2,0,1.5,7,hot air,gas,public/commercial,No,Yes
136,119900,1.03,63,41500,1701,5,0,1,10,hot water/steam,oil,septic,No,No
137,146000,1.17,33,41800,1456,3,1,1.5,6,hot air,oil,septic,No,No
138,125000,0.34,44,19000,1224,3,0,1,4,hot air,oil,septic,No,No
139,135000,0.38,48,21300,1411,3,1,1,5,hot air,gas,septic,No,No
140,157500,1.96,29,39700,1608,3,1,1.5,5,hot air,oil,septic,No,No
141,135000,3,178,44500,3020,4,0,2.5,12,hot water/steam,oil,septic,No,No
142,142900,0.33,32,22500,1898,3,1,1.5,7,hot water/steam,gas,public/commercial,No,No
143,259900,0.46,1,36600,2544,4,1,2.5,9,hot air,gas,public/commercial,No,Yes
144,85000,0.29,16,22100,1038,2,0,1,7,electric,electric,public/commercial,No,No
145,180377,0.35,1,37000,1820,3,1,2.5,6,hot air,gas,public/commercial,No,Yes
146,163500,0.28,21,28400,2202,3,1,2,10,electric,electric,public/commercial,No,No
147,106500,0.52,53,20300,2387,3,0,1,6,hot air,oil,septic,No,No
148,115000,0.11,16,20700,1368,2,1,1.5,3,electric,electric,public/commercial,No,No
149,115000,0.14,16,21000,1480,2,1,2,5,electric,electric,public/commercial,No,No
150,135000,0.14,15,19600,1348,2,1,1.5,5,electric,electric,public/commercial,No,No
151,198900,0.47,7,25500,1889,4,1,2.5,8,hot air,gas,public/commercial,No,No
152,139000,0.14,16,19600,1343,2,1,1.5,6,electric,electric,public/commercial,No,No
153,206000,0.51,15,39600,2011,3,1,2.5,7,hot air,gas,public/commercial,No,No
154,120000,0.21,15,28800,1180,2,1,1.5,3,hot air,gas,public/commercial,No,No
155,205980,0.14,1,45200,1983,3,1,2.5,5,hot air,gas,public/commercial,No,Yes
156,275000,0.55,14,72000,2253,3,1,2.5,7,hot air,gas,public/commercial,No,No
157,139000,0.07,12,24500,1604,2,0,1.5,4,hot air,gas,public/commercial,No,No
158,89900,0.49,83,11900,1196,3,0,1,6,hot air,gas,septic,No,No
159,139900,0.07,13,24500,1602,2,0,2.5,7,hot air,gas,public/commercial,No,No
160,172750,0.36,1,37100,1747,3,0,2.5,5,hot air,gas,public/commercial,No,Yes
161,136000,0.5,37,19800,1092,3,0,1,5,hot water/steam,oil,septic,No,No
162,270000,0.48,10,37800,2410,4,1,2.5,11,hot air,gas,public/commercial,No,No
163,174000,0.29,14,31100,1933,3,1,2.5,6,hot air,gas,public/commercial,No,No
164,379000,0.68,9,57200,3080,4,1,2.5,12,hot air,gas,public/commercial,No,No
165,382500,4.08,13,75500,4534,6,2,2.5,12,hot air,oil,septic,No,No
166,144900,0.1,14,26000,1677,3,1,2.5,5,hot air,gas,public/commercial,No,No
167,349900,0.62,7,57800,2900,4,1,2.5,11,hot air,gas,public/commercial,No,No
168,133000,0.07,16,20300,1392,2,1,1.5,5,electric,electric,public/commercial,No,No
169,115000,0.16,15,22400,1058,2,1,1.5,7,hot air,gas,public/commercial,No,No
170,211950,0.36,1,29200,2342,4,1,2.5,8,hot air,gas,public/commercial,No,Yes
171,227812,0.01,0,37200,2206,4,1,2.5,10,hot air,gas,public/commercial,No,Yes
172,164400,0.34,1,36200,1516,3,1,2,5,hot air,gas,public/commercial,No,Yes
173,340000,0.75,12,82500,2836,4,1,2.5,10,hot air,gas,public/commercial,No,No
174,139900,0.29,15,35200,1256,2,0,1.5,7,hot air,gas,public/commercial,No,No
175,279900,0.47,6,20000,2340,4,1,3.5,10,hot air,gas,public/commercial,No,No
176,225000,0.32,0,53900,2129,4,1,2.5,9,hot air,gas,public/commercial,No,Yes
177,144500,0.12,15,16800,1343,2,1,2.5,4,hot air,gas,public/commercial,No,No
178,362710,1,0,24300,2963,4,1,2.5,10,hot air,gas,septic,No,Yes
179,247000,0.46,13,36600,2114,4,1,3.5,8,hot air,gas,public/commercial,No,No
180,120000,0.18,16,21400,1144,2,1,1,7,electric,electric,public/commercial,No,No
181,136000,0.55,33,14900,988,3,1,1,7,hot air,oil,septic,No,No
182,228500,0.46,9,45800,1475,3,0,2,4,hot air,gas,public/commercial,No,No
183,162800,0.15,10,28500,1247,3,0,1.5,7,hot air,gas,public/commercial,No,No
184,230000,0.93,48,23500,1912,5,1,2,10,hot water/steam,gas,septic,No,No
185,115800,0.46,23,19700,1440,3,0,1.5,5,hot air,oil,septic,No,No
186,175000,0.26,16,30100,1596,3,1,2,6,hot air,gas,public/commercial,No,No
187,263008,0.63,0,24400,2665,4,1,2.5,11,hot air,gas,public/commercial,No,Yes
188,146000,0.5,35,28000,1984,3,0,1.5,8,hot water/steam,gas,septic,No,No
189,204900,0.03,10,35800,1616,3,0,2,6,hot air,gas,public/commercial,No,No
190,265000,0.17,9,40500,1917,3,1,2.5,5,hot air,gas,public/commercial,No,No
191,167500,0.64,37,16400,2592,3,1,1.5,9,hot water/steam,oil,septic,No,No
192,205000,0.47,6,25500,1845,3,1,2.5,9,hot air,gas,public/commercial,No,No
193,170000,0.92,53,29000,1360,4,0,1,9,hot air,oil,septic,No,No
194,176000,0.41,35,26200,1664,3,1,1.5,6,hot air,gas,public/commercial,No,No
195,132000,0.16,15,22400,1098,2,1,1.5,3,hot air,gas,public/commercial,No,No
196,115500,0.01,17,9900,1214,2,0,1.5,4,electric,electric,public/commercial,No,No
197,150000,0.29,93,9200,1046,3,0,1,6,electric,electric,septic,No,No
198,120000,0.36,103,32200,1144,3,0,1,8,hot air,oil,septic,No,No
199,125000,0.28,16,22000,1140,2,1,2,6,hot air,gas,public/commercial,No,No
200,150000,0.15,14,21000,1232,2,1,1.5,5,hot air,gas,public/commercial,No,No
201,362360,0.59,0,153800,3020,4,1,2.5,9,hot air,gas,public/commercial,No,Yes
202,133500,0.36,19,27000,1508,3,1,2,6,hot air,gas,public/commercial,No,No
203,91000,0.16,19,15700,912,2,1,1.5,5,electric,electric,public/commercial,No,No
204,104000,0.34,18,27000,1508,3,0,1.5,4,electric,electric,public/commercial,No,No
205,148000,0.33,17,27000,1561,3,1,1.5,6,hot air,gas,public/commercial,No,No
206,182000,0.56,30,26400,2625,4,1,2.5,8,hot water/steam,gas,public/commercial,No,No
207,152500,0.48,30,19600,936,3,1,1,7,hot water/steam,gas,public/commercial,No,No
208,97000,0.16,19,15700,912,2,0,1.5,3,electric,electric,public/commercial,No,No
209,113000,0.17,16,15100,1492,3,0,2.5,8,electric,electric,public/commercial,No,No
210,172000,0.46,30,26300,1599,4,1,2.5,5,hot water/steam,gas,public/commercial,No,No
211,179900,0.81,25,25000,2304,5,1,2.5,9,electric,electric,septic,No,No
212,84000,0.15,19,15700,912,2,0,1.5,7,electric,electric,public/commercial,No,No
213,117900,0.15,17,15100,1385,2,1,1.5,7,hot air,gas,public/commercial,No,No
214,177000,0.32,17,27000,1561,4,0,1.5,8,electric,electric,public/commercial,No,No
215,107500,0.16,20,15700,884,2,0,2,3,hot water/steam,gas,public/commercial,No,No
216,92500,0.15,18,15700,912,2,0,2,4,electric,electric,public/commercial,No,No
217,102900,0.15,17,15700,912,2,0,1.5,3,electric,gas,public/commercial,No,No
218,134800,0.48,73,20500,1384,3,0,2,5,hot air,oil,septic,No,No
219,150000,0.77,7,30000,1334,3,0,1.5,4,hot air,gas,public/commercial,No,No
220,165000,0.42,10,26200,1433,3,1,2,5,hot air,gas,septic,No,No
221,120000,0.17,16,15100,1492,3,1,2.5,6,electric,electric,public/commercial,No,No
222,177500,0.32,16,27000,1561,4,1,1.5,9,hot air,gas,public/commercial,No,No
223,300000,0.09,11,32000,936,1,0,1,3,electric,electric,public/commercial,Yes,No
224,123500,0.16,16,15100,1492,3,1,2.5,8,electric,electric,public/commercial,No,No
225,141000,0.16,18,15100,1853,3,0,2.5,7,electric,electric,public/commercial,No,No
226,105400,0.15,15,15100,1240,2,0,1.5,7,electric,electric,public/commercial,No,No
227,100600,0.17,19,15800,912,2,0,1.5,6,electric,electric,public/commercial,No,No
228,108900,0.17,19,15800,912,2,0,1.5,3,hot air,gas,public/commercial,No,No
229,105500,0.16,19,15700,912,2,0,1.5,6,hot water/steam,gas,public/commercial,No,No
230,109900,0.16,19,15100,1184,3,0,1.5,8,hot water/steam,gas,public/commercial,No,No
231,172700,0.34,18,27000,1638,3,1,2,6,electric,electric,public/commercial,No,No
232,166500,0.31,16,27000,1508,3,1,2,6,electric,electric,public/commercial,No,No
233,105000,0.4,50,18000,672,2,0,1,5,electric,electric,public/commercial,No,No
234,490000,0.34,18,79700,1346,3,1,2,6,hot air,oil,public/commercial,Yes,No
235,120000,0.16,18,15100,1184,3,0,2,5,electric,electric,public/commercial,No,No
236,107500,0.15,16,15700,912,2,0,1.5,4,hot air,gas,public/commercial,No,No
237,116600,0.15,18,15700,912,2,1,1.5,5,electric,electric,public/commercial,No,No
238,65000,0.16,19,15700,988,2,0,2,4,hot air,gas,public/commercial,No,No
239,118000,0.16,19,15100,1184,3,0,2,6,hot air,gas,public/commercial,No,No
240,115900,0.15,16,15100,1385,2,0,1.5,4,electric,electric,public/commercial,No,No
241,100000,0.15,18,15700,912,2,0,1.5,3,hot water/steam,gas,public/commercial,No,No
242,171000,0.37,18,27000,1548,3,1,2,5,hot air,gas,public/commercial,No,No
243,188000,0.31,17,27000,1561,4,0,1.5,9,electric,electric,public/commercial,No,No
244,140000,1,24,21000,1008,2,0,1,3,hot air,gas,septic,No,No
245,124500,0.15,17,15200,1385,2,0,1.5,4,electric,electric,public/commercial,No,No
246,107200,0.16,19,15700,908,2,0,1,6,hot air,gas,public/commercial,No,No
247,107500,0.24,138,1400,2246,4,0,1.5,9,hot water/steam,oil,public/commercial,No,No
248,180000,2.06,16,5900,1820,3,1,2.5,5,hot air,gas,septic,No,No
249,214325,0.42,0,13000,2554,4,1,2.5,9,hot air,gas,public/commercial,No,Yes
250,128850,0.92,16,5500,824,3,0,1.5,5,electric,electric,septic,No,No
251,208700,0.4,0,15000,2458,4,1,2.5,9,hot air,gas,public/commercial,No,No
252,139900,0.36,22,10500,1324,3,0,1,4,electric,electric,public/commercial,No,No
253,350000,5.84,12,20000,2916,3,1,2.5,9,hot air,gas,public/commercial,No,No
254,108000,0.16,19,15100,1032,2,0,1.5,4,electric,electric,public/commercial,No,No
255,115500,0.15,16,15700,912,2,1,1.5,4,electric,electric,public/commercial,No,No
256,135000,0.98,35,19600,1320,2,0,1,3,electric,electric,septic,No,No
257,135000,0.33,17,27000,1508,3,1,1.5,8,hot air,gas,public/commercial,No,No
258,107400,0.16,16,15700,912,2,1,1.5,7,electric,electric,public/commercial,No,No
259,233000,0.09,12,31200,2040,4,1,2.5,7,hot air,gas,septic,No,No
260,105000,0.16,17,15700,912,2,1,1.5,5,electric,electric,public/commercial,No,No
261,335000,3,10,53600,1776,2,0,2,6,hot air,oil,public/commercial,No,No
262,139000,0.58,25,25000,1304,3,0,2,8,electric,electric,public/commercial,No,No
263,209500,0.42,10,26200,1836,4,1,2.5,8,hot air,gas,septic,No,No
264,101000,0.17,18,15800,912,2,0,2,3,electric,electric,public/commercial,No,No
265,77500,0.16,19,15700,912,2,0,1.5,6,electric,electric,public/commercial,No,No
266,150500,0.31,16,27000,1527,2,1,2,7,electric,electric,public/commercial,No,No
267,167000,0.99,17,5700,1454,3,0,1.5,7,electric,electric,septic,No,No
268,114000,0.26,26,4600,1700,3,1,1.5,4,hot water/steam,oil,public/commercial,No,No
269,160000,0.45,27,7000,1680,4,0,1,9,electric,electric,public/commercial,No,No
270,85000,0.49,0,13000,2401,4,1,2.5,10,hot air,gas,public/commercial,No,No
271,143000,0.35,21,11000,1176,3,0,1,7,electric,electric,public/commercial,No,No
272,126000,0.4,24,9800,1344,3,1,1.5,7,electric,electric,public/commercial,No,No
273,140000,0.48,23,10400,1344,3,0,1.5,8,electric,electric,public/commercial,No,No
274,140000,0.35,9,13000,1714,3,0,2.5,8,hot water/steam,gas,septic,No,No
275,205000,0.25,20,29000,1992,4,1,3,9,hot air,gas,public/commercial,No,No
276,79900,0.12,19,18200,924,2,0,1,7,hot air,gas,public/commercial,No,No
277,139000,0.09,24,17600,1290,2,1,1.5,3,hot air,gas,public/commercial,No,No
278,190000,0.46,36,27400,2521,4,1,2.5,10,hot water/steam,gas,public/commercial,No,No
279,151500,0.71,58,22700,1377,3,1,1.5,7,hot water/steam,oil,public/commercial,No,No
280,97500,0.06,19,16400,1237,2,1,1.5,6,hot air,gas,public/commercial,No,No
281,194500,0.61,41,32300,2310,4,1,2.5,7,hot water/steam,gas,public/commercial,No,No
282,195160,0.32,0,35000,1863,3,1,2.5,9,hot air,gas,public/commercial,No,No
283,152500,0.37,26,37500,1693,3,1,1.5,8,hot air,gas,public/commercial,No,No
284,159500,0.29,26,31400,1684,3,1,2.5,4,hot air,gas,public/commercial,No,No
285,185000,0.95,16,40900,1585,3,1,1.5,4,electric,electric,public/commercial,No,No
286,240000,0.67,8,72400,2290,4,1,3,9,hot air,gas,public/commercial,No,No
287,187900,0.4,32,30000,2464,5,1,2.5,9,hot air,gas,public/commercial,No,No
288,262000,0.29,5,29000,2549,4,1,2.5,12,hot air,gas,public/commercial,No,No
289,212500,0.35,6,36500,2316,4,1,2.5,7,hot air,gas,public/commercial,No,No
290,220000,0.37,18,43000,2600,4,1,2.5,8,hot air,gas,septic,No,No
291,245000,0.53,15,65800,2677,4,1,2.5,10,hot air,gas,public/commercial,No,No
292,120000,0.06,19,16400,1479,3,0,1.5,4,electric,electric,public/commercial,No,No
293,102500,0.15,16,18500,1138,2,0,1,7,electric,electric,public/commercial,No,No
294,136000,0.27,24,18900,1576,3,0,2.5,4,hot water/steam,gas,public/commercial,No,No
295,212500,0.43,10,52200,2084,4,1,2.5,9,hot air,gas,public/commercial,No,No
296,205900,0.06,26,35900,1726,3,1,2,8,hot air,gas,public/commercial,No,No
297,259900,1,2,49900,1851,2,2,2,4,hot air,gas,septic,No,No
298,191500,0.46,30,27400,2310,5,1,2.5,12,hot air,gas,public/commercial,No,No
299,272500,0.03,0,56800,2930,4,1,2.5,12,hot air,gas,public/commercial,No,No
300,191500,0.88,33,35900,2576,4,1,2.5,10,hot water/steam,gas,public/commercial,No,No
301,158000,0.55,36,30500,1664,3,1,2,8,hot water/steam,gas,public/commercial,No,No
302,195000,1,24,46000,1237,2,0,1.5,3,electric,electric,septic,No,No
303,187500,0.43,29,31400,2662,5,1,2.5,9,hot air,gas,public/commercial,No,No
304,160000,0.45,35,32300,1575,3,1,1.5,7,hot air,gas,public/commercial,No,No
305,137500,0.1,12,18000,1566,2,0,1.5,7,hot air,gas,public/commercial,No,No
306,109900,0.09,16,17600,1326,2,1,1.5,4,hot air,gas,public/commercial,No,No
307,85000,0.09,18,17600,1480,3,0,1.5,8,hot water/steam,gas,public/commercial,No,No
308,184350,0.59,0,38400,2161,4,1,2.5,11,hot air,gas,public/commercial,No,No
309,134500,0.16,10,18600,1352,2,1,1.5,3,hot air,gas,public/commercial,No,No
310,154900,0.51,33,34600,1648,3,0,1.5,8,hot air,gas,public/commercial,No,No
311,255000,0.46,25,60500,2936,3,1,3.5,12,hot air,gas,public/commercial,No,No
312,238600,0.46,1,36400,2404,4,1,2.5,10,hot air,gas,public/commercial,No,No
313,106000,0.42,36,30900,1738,3,0,1.5,9,hot air,gas,public/commercial,No,No
314,625000,0.45,14,119500,5228,4,4,4,12,hot air,gas,public/commercial,No,No
315,195000,0.55,34,30500,2576,4,1,2.5,12,hot water/steam,gas,public/commercial,No,No
316,168500,0.44,34,31800,1586,3,1,1.5,7,hot air,gas,public/commercial,No,No
317,87000,0.06,19,16400,1480,3,0,1.5,5,electric,electric,public/commercial,No,No
318,215000,0.5,15,37000,1917,4,1,2.5,7,hot air,gas,public/commercial,No,No
319,197500,0.3,30,24500,1938,3,1,1.5,9,hot air,gas,public/commercial,No,No
320,215000,0.33,3,11600,2110,4,1,2.5,8,hot air,gas,public/commercial,No,No
321,118000,0.14,19,18400,1479,3,0,1.5,5,hot air,gas,public/commercial,No,No
322,187900,0.69,34,34700,2576,5,1,2.5,9,hot water/steam,gas,public/commercial,No,No
323,275000,0.38,18,60800,2445,4,2,2.5,9,hot air,gas,public/commercial,No,No
324,249900,0.74,14,73800,2185,3,1,2.5,7,hot air,gas,public/commercial,No,No
325,270000,0.38,18,82800,2078,4,1,2.5,8,hot air,electric,septic,No,No
326,157900,0.38,37,29100,1674,3,1,1.5,5,hot air,gas,public/commercial,No,No
327,120000,0.29,19,20300,1228,4,0,1.5,9,electric,electric,public/commercial,No,No
